optionid,productid,catalogid,category_id,featurecaption,featuretype,featurerequired,sorting,url,info,featureid,featurename,featureprice,sorting,partnumber,imagepath,selected,hidden,optcatalogid,qty,thumbpath,colorcode
,,,,,,,,,,6335,12 x HD-4217 1080P MicroDomes,0,1,#NAME?,assets/images/Products/Cameras/HD-IP/IH.jpg,0,0,0,1,,
,,,,,,,,,,6336,10 x HD-4217 Domes + 2 x HD-5217 Bullets,0,8,#NAME?,assets/images/Products/Cameras/HD-IP/IHBH.jpg,0,0,0,1,,
,,,,,,,,,,6337,10 x HD-4217 Domes + 2 x HD-8217 Turrets,40,3,#NAME?,assets/images/Products/Cameras/HD-IP/IHTH.jpg,0,0,0,1,,
,,,,,,,,,,6338,2 x HD-4217 Domes + 10 x HD-5217 Bullets,0,12,#NAME?,assets/images/Products/Cameras/HD-IP/IHBH.jpg,0,0,0,1,,
,,,,,,,,,,6339,2 x HD-4217 Domes + 10 x HD-8217 Turrets,200,7,#NAME?,assets/images/Products/Cameras/HD-IP/IHTH.jpg,0,0,0,1,,
,,,,,,,,,,6340,4 x HD-4217 Domes + 8 x HD-5217 Bullets,0,11,#NAME?,assets/images/Products/Cameras/HD-IP/IHBH.jpg,0,0,0,1,,
,,,,,,,,,,6341,4 x HD-4217 Domes + 8 x HD-8217 Turrets,160,6,#NAME?,assets/images/Products/Cameras/HD-IP/IHTH.jpg,0,0,0,1,,
,,,,,,,,,,6342,6 x HD-4217 Domes + 6 x HD-5217 Bullets,0,10,#NAME?,assets/images/Products/Cameras/HD-IP/IHBH.jpg,0,0,0,1,,
,,,,,,,,,,6343,6 x HD-4217 Domes + 6 x HD-8217 Turrets,120,5,#NAME?,assets/images/Products/Cameras/HD-IP/IHTH.jpg,0,0,0,1,,
,,,,,,,,,,6344,8 x HD-4217 Domes + 4 x HD-5217 Bullets,0,9,#NAME?,assets/images/Products/Cameras/HD-IP/IHBH.jpg,0,0,0,1,,
,,,,,,,,,,6345,8 x HD-4217 Domes + 4 x HD-8217 Turrets,80,4,#NAME?,assets/images/Products/Cameras/HD-IP/IHTH.jpg,0,0,0,1,,
,,,,,,,,,,6346,12 x HD-8217 1080P Turret Cameras,240,2,#NAME?,assets/images/Products/Cameras/HD-IP/TH.jpg,0,0,0,1,,
1501,HD-1206,101,0,PoE Switch,Radio,1,3,,,6357,3 x 4-Port PoE Switch (100Mbps),0,0,,,0,0,0,1,,
,,,,,,,,,,6358,3 x 4-Port PoE Switch (1Gbps),150,1,#NAME?,,0,0,0,1,,
1499,HD-1206,101,0,Recording,DropImage,1,1,,,6347,AVM Software (12-IP Licenses),0,0,,assets/images/Products/AVM/Video_DVD_250x250.jpg,1,0,0,1,,
,,,,,,,,,,6348,MicroNVR (2TB),1299,2,#NAME?,assets/images/Products/PCs/MicroNVR.jpg,0,0,0,1,,
,,,,,,,,,,6349,MicroNVR (4TB),1399,3,#NAME?,assets/images/Products/PCs/micronvr_thumbnail.jpg,0,0,0,1,,
,,,,,,,,,,6350,Rack Mount PlatinumNVR (16TB),2399,6,#NAME?,assets/images/Products/PCs/hdvr_1_thumbnail.jpg,0,0,0,1,,
,,,,,,,,,,6351,Rack Mount PlatinumNVR (24TB),2799,7,#NAME?,assets/images/Products/PCs/hdvr_1_thumbnail.jpg,0,0,0,1,,
,,,,,,,,,,6352,Rack Mount PlatinumNVR (32TB),3199,8,#NAME?,assets/images/Products/PCs/hdvr_1_thumbnail.jpg,0,0,0,1,,
,,,,,,,,,,6353,Rack Mount PlatinumNVR (4TB),1799,4,#NAME?,assets/images/Products/PCs/hdvr_1_thumbnail.jpg,0,0,0,1,,
,,,,,,,,,,6354,Rack Mount PlatinumNVR (8TB),1999,5,#NAME?,assets/images/Products/PCs/hdvr_1_thumbnail.jpg,0,0,0,1,,
1496,HD-1606,102,0,Cable Lengths,Radio,1,2,,,6326,No Cable,0,0,,,1,0,0,1,,
,,,,,,,,,,6327,1000' Box CAT-5 Cable w/RJ-45 Connectors,85,1,0,,0,0,0,1,,
1494,HD-1606,102,0,Cameras,DropImage,1,0,,,6303,16 x HD-5217 1080P IR Bullets,0,0,#NAME?,assets/images/Products/Cameras/HD-IP/BH.jpg,1,0,0,1,,
,,,,,,,,,,6304,16 x HD-4217 1080P MicroDomes,0,1,#NAME?,assets/images/Products/Cameras/HD-IP/IH.jpg,0,0,0,1,,
,,,,,,,,,,6305,12 x HD-4217 Domes + 4 x HD-5217 Bullets,0,10,#NAME?,assets/images/Products/Cameras/HD-IP/IHBH.jpg,0,0,0,1,,
,,,,,,,,,,6306,12 x HD-4217 Domes + 4 x HD-8217 Turrets,80,4,#NAME?,assets/images/Products/Cameras/HD-IP/IHTH.jpg,0,0,0,1,,
,,,,,,,,,,6307,14 x HD-4217 Domes + 2 x HD-5217 Bullets,0,9,#NAME?,assets/images/Products/Cameras/HD-IP/IHBH.jpg,0,0,0,1,,
,,,,,,,,,,6308,14 x HD-4217 Domes + 2 x HD-8217 Turrets,40,3,#NAME?,assets/images/Products/Cameras/HD-IP/IHTH.jpg,0,0,0,1,,
,,,,,,,,,,6309,2 x HD-4217 Domes + 14 x HD-5217 Bullets,0,14,#NAME?,assets/images/Products/Cameras/HD-IP/IHBH.jpg,0,0,0,1,,
,,,,,,,,,,6310,2 x HD-4217 Domes + 14 x HD-8217 Turrets,280,8,#NAME?,assets/images/Products/Cameras/HD-IP/IHTH.jpg,0,0,0,1,,
,,,,,,,,,,6311,4 x HD-4217 Domes + 12 x HD-5217 Bullets,0,13,#NAME?,assets/images/Products/Cameras/HD-IP/IHBH.jpg,0,0,0,1,,
,,,,,,,,,,6312,4 x HD-4217 Domes + 12 x HD-8217 Turrets,240,7,#NAME?,assets/images/Products/Cameras/HD-IP/IHTH.jpg,0,0,0,1,,
,,,,,,,,,,6313,6 x HD-4217 Domes + 10 x HD-5217 Bullets,0,12,#NAME?,assets/images/Products/Cameras/HD-IP/IHBH.jpg,0,0,0,1,,
,,,,,,,,,,6314,6 x HD-4217 Domes + 10 x HD-8217 Turrets,200,6,#NAME?,assets/images/Products/Cameras/HD-IP/IHTH.jpg,0,0,0,1,,
,,,,,,,,,,6315,8 x HD-4217 Domes + 8 x HD-5217 Bullets,0,11,#NAME?,assets/images/Products/Cameras/HD-IP/IHBH.jpg,0,0,0,1,,
,,,,,,,,,,6316,8 x HD-4217 Domes + 8 x HD-8217 Turrets,160,5,#NAME?,assets/images/Products/Cameras/HD-IP/IHTH.jpg,0,0,0,1,,
,,,,,,,,,,6317,16 x HD-8217 1080P Turrets,320,2,#NAME?,assets/images/Products/Cameras/HD-IP/TH.jpg,0,0,0,1,,
1497,HD-1606,102,0,PoE Switch,Radio,1,3,,,6328,4 x 4-Port PoE Switch (100Mbps),0,0,,,0,0,0,1,,
,,,,,,,,,,6329,4 x 4-Port PoE Switch (1Gbps),200,1,#NAME?,,0,0,0,1,,
1495,HD-1606,102,0,Recording,DropImage,1,1,,,6318,AVM Software (16-IP Licenses),0,1,,assets/images/Products/AVM/Video_DVD_250x250.jpg,1,0,0,1,,
,,,,,,,,,,6319,MicroNVR (2TB),1299,3,#NAME?,assets/images/Products/PCs/MicroNVR.jpg,0,0,0,1,,
,,,,,,,,,,6320,MicroNVR (4TB),1399,4,#NAME?,assets/images/Products/PCs/micronvr_thumbnail.jpg,0,0,0,1,,
,,,,,,,,,,6321,Rack Mount PlatinumNVR (16TB),2399,7,#NAME?,assets/images/Products/PCs/hdvr_1_thumbnail.jpg,0,0,0,1,,
,,,,,,,,,,6322,Rack Mount PlatinumNVR (24TB),2799,8,#NAME?,assets/images/Products/PCs/hdvr_1_thumbnail.jpg,0,0,0,1,,
,,,,,,,,,,6323,Rack Mount PlatinumNVR (32TB),3199,9,#NAME?,assets/images/Products/PCs/hdvr_1_thumbnail.jpg,0,0,0,1,,
,,,,,,,,,,6324,Rack Mount PlatinumNVR (4TB),1799,5,#NAME?,assets/images/Products/PCs/hdvr_1_thumbnail.jpg,0,0,0,1,,
,,,,,,,,,,6325,Rack Mount PlatinumNVR (8TB),1999,6,#NAME?,assets/images/Products/PCs/hdvr_1_thumbnail.jpg,0,0,0,1,,
261,NETCAM,104,0,Number of IP Licenses,Dropdown,1,0,,,1145,16 IP Camera Licenses,1200,12,-16,,0,0,0,1,,
,,,,,,,,,,1146,17 IP Camera Licenses,1300,13,-17,,0,0,0,1,,
,,,,,,,,,,1147,18 IP Camera Licenses,1400,14,-18,,0,0,0,1,,
,,,,,,,,,,1148,19 IP Camera Licenses,1500,15,-19,,0,0,0,1,,
,,,,,,,,,,1149,20 IP Camera Licenses,1600,16,-20,,0,0,0,1,,
,,,,,,,,,,1150,21 IP Camera Licenses,1700,17,-21,,0,0,0,1,,
,,,,,,,,,,1151,22 IP Camera Licenses,1800,18,-22,,0,0,0,1,,
,,,,,,,,,,1152,23 IP Camera Licenses,1900,19,-23,,0,0,0,1,,
,,,,,,,,,,1153,24 IP Camera Licenses,2000,20,-24,,0,0,0,1,,
,,,,,,,,,,1154,25 IP Camera Licenses,2100,21,-25,,0,0,0,1,,
,,,,,,,,,,1155,26 IP Camera Licenses,2200,22,-26,,0,0,0,1,,
,,,,,,,,,,1156,27 IP Camera Licenses,2300,23,-27,,0,0,0,1,,
,,,,,,,,,,1157,28 IP Camera Licenses,2400,24,-28,,0,0,0,1,,
,,,,,,,,,,1158,29 IP Camera Licenses,2500,25,-29,,0,0,0,1,,
,,,,,,,,,,1159,30 IP Camera Licenses,2600,26,-30,,0,0,0,1,,
,,,,,,,,,,1160,31 IP Camera Licenses,2700,27,-31,,0,0,0,1,,
,,,,,,,,,,1161,32 IP Camera Licenses,2800,28,-32,,0,0,0,1,,
,,,,,,,,,,1144,15 IP Camera Licenses,1100,11,-15,,0,0,0,1,,
,,,,,,,,,,1143,14 IP Camera Licenses,1000,10,-14,,0,0,0,1,,
,,,,,,,,,,1142,13 IP Camera Licenses,900,9,-13,,0,0,0,1,,
,,,,,,,,,,1141,12 IP Camera Licenses,800,8,-12,,0,0,0,1,,
,,,,,,,,,,1140,11 IP Camera Licenses,700,7,-11,,0,0,0,1,,
,,,,,,,,,,1139,10 IP Camera Licenses,600,6,-10,,0,0,0,1,,
,,,,,,,,,,1138,9 IP Camera Licenses,500,5,-9,,0,0,0,1,,
,,,,,,,,,,1137,8 IP Camera Licenses,400,4,-8,,0,0,0,1,,
,,,,,,,,,,1136,7 IP Camera Licenses,300,3,-7,,0,0,0,1,,
,,,,,,,,,,1135,6 IP Camera Licenses,200,2,-6,,0,0,0,1,,
,,,,,,,,,,1134,5 IP Camera Licenses,100,1,-5,,0,0,0,1,,
,,,,,,,,,,1133,4 IP Camera Licenses,0,0,-4,,1,0,0,1,,
1956,MicroNVR,105,0,CPU,Dropdown,1,0,,,9062,Intel i3 CPU ,0,0,0,,1,0,0,0,,
,,,,,,,,,,9063,Intel i5 CPU,185,1,0,,0,0,0,0,,
,,,,,,,,,,9064,Intel i7 CPU,485,2,0,,0,0,0,0,,
1954,MicroNVR,105,0,Hard Drive Size,Dropdown,1,3,,,9057,1 TB Hard Drive Installed,0,0,+1TB,,1,0,0,1,,
,,,,,,,,,,9058,2 TB Hard Drive Installed,75,1,+2TB,,0,0,0,1,,
,,,,,,,,,,9059,5 TB Hard Drive Installed,300,2,+5TB,,0,0,0,1,,
1955,MicroNVR,105,0,M2 Drive (OS Drive),Dropdown,1,2,,,9060,M.2 OS Drive,0,0,,,1,0,0,0,,
1953,MicroNVR,105,0,Number of IP Licenses,Dropdown,1,3,,,9035,4 IP Camera Licenses,0,0,-4,,1,0,0,1,,
,,,,,,,,,,9036,5 IP Camera Licenses,100,1,-5,,0,0,0,1,,
,,,,,,,,,,9037,6 IP Camera Licenses,200,2,-6,,0,0,0,1,,
,,,,,,,,,,9038,7 IP Camera Licenses,300,3,-7,,0,0,0,1,,
,,,,,,,,,,9039,8 IP Camera Licenses,400,4,-8,,0,0,0,1,,
,,,,,,,,,,9040,9 IP Camera Licenses,500,5,-9,,0,0,0,1,,
,,,,,,,,,,9041,10 IP Camera Licenses,600,6,-10,,0,0,0,1,,
,,,,,,,,,,9042,11 IP Camera Licenses,700,7,-11,,0,0,0,1,,
,,,,,,,,,,9043,12 IP Camera Licenses,800,8,-12,,0,0,0,1,,
,,,,,,,,,,9044,13 IP Camera Licenses,900,9,-13,,0,0,0,1,,
,,,,,,,,,,9045,14 IP Camera Licenses,1000,10,-14,,0,0,0,1,,
,,,,,,,,,,9046,15 IP Camera Licenses,1100,11,-15,,0,0,0,1,,
,,,,,,,,,,9047,16 IP Camera Licenses,1200,12,-16,,0,0,0,1,,
,,,,,,,,,,9048,17 IP Camera Licenses,1300,13,-17,,0,0,0,1,,
,,,,,,,,,,9049,18 IP Camera Licenses,1400,14,-18,,0,0,0,1,,
,,,,,,,,,,9050,19 IP Camera Licenses,1500,15,-19,,0,0,0,1,,
,,,,,,,,,,9051,20 IP Camera Licenses,1600,16,-20,,0,0,0,1,,
,,,,,,,,,,9052,21 IP Camera Licenses,1700,17,-21,,0,0,0,1,,
,,,,,,,,,,9053,22 IP Camera Licenses,1800,18,-22,,0,0,0,1,,
,,,,,,,,,,9054,23 IP Camera Licenses,1900,19,-23,,0,0,0,1,,
,,,,,,,,,,9055,24 IP Camera Licenses,2000,20,-24,,0,0,0,1,,
,,,,,,,,,,9056,No IP Licenses Needed,-200,21,#NAME?,,0,0,0,0,,
1957,MicroNVR,105,0,RAM,Dropdown,1,1,,,9065,8GB DDR4 RAM,0,0,+8GB,,1,0,0,0,,
,,,,,,,,,,9066,16GB DDR4 RAM,65,1,+16GB,,0,0,0,0,,
1981,PlatinumNVR,109,0,CPU,Dropdown,1,0,,,9390,Intel i5 CPU,0,0,0,,1,0,0,0,,
,,,,,,,,,,9391,Intel i7 CPU,315,1,0,,0,0,0,0,,
1980,PlatinumNVR,109,0,Hard Drive Size,Dropdown,1,1,,,9386,4 TB Hard Drives + M.2 OS Drive,0,2,+4TB,,1,0,0,1,,
,,,,,,,,,,9387,8 TB Hard Drives + M.2 OS Drive,250,3,+8TB,,0,0,0,1,,
,,,,,,,,,,9388,16 TB Hard Drives + M.2 OS Drive,550,4,+16TB,,0,0,0,1,,
,,,,,,,,,,9389,32 TB Hard Drives + M.2 OS Drive,1250,5,+32TB,,0,0,0,1,,
,,,,,,,,,,9890,48 TB Hard Drives + M.2 OS Drive,1950,6,+48TB,,0,0,0,0,,
,,,,,,,,,,9891,64 TB Hard Drives + M.2 OS Drive,2650,7,+64TB,,0,0,0,0,,
1979,PlatinumNVR,109,0,Number of IP Licenses,Dropdown,1,4,,,9337,4 IP Camera Licenses,0,0,-4,,1,0,0,1,,
,,,,,,,,,,9338,5 IP Camera Licenses,100,1,-5,,0,0,0,1,,
,,,,,,,,,,9339,6 IP Camera Licenses,200,2,-6,,0,0,0,1,,
,,,,,,,,,,9340,7 IP Camera Licenses,300,3,-7,,0,0,0,1,,
,,,,,,,,,,9341,8 IP Camera Licenses,400,4,-8,,0,0,0,1,,
,,,,,,,,,,9342,9 IP Camera Licenses,500,5,-9,,0,0,0,1,,
,,,,,,,,,,9343,10 IP Camera Licenses,600,6,-10,,0,0,0,1,,
,,,,,,,,,,9344,11 IP Camera Licenses,700,7,-11,,0,0,0,1,,
,,,,,,,,,,9345,12 IP Camera Licenses,800,8,-12,,0,0,0,1,,
,,,,,,,,,,9346,13 IP Camera Licenses,900,9,-13,,0,0,0,1,,
,,,,,,,,,,9347,14 IP Camera Licenses,1000,10,-14,,0,0,0,1,,
,,,,,,,,,,9348,15 IP Camera Licenses,1100,11,-15,,0,0,0,1,,
,,,,,,,,,,9349,16 IP Camera Licenses,1200,12,-16,,0,0,0,1,,
,,,,,,,,,,9350,17 IP Camera Licenses,1300,13,-17,,0,0,0,1,,
,,,,,,,,,,9351,18 IP Camera Licenses,1400,14,-18,,0,0,0,1,,
,,,,,,,,,,9352,19 IP Camera Licenses,1500,15,-19,,0,0,0,1,,
,,,,,,,,,,9353,20 IP Camera Licenses,1600,16,-20,,0,0,0,1,,
,,,,,,,,,,9354,21 IP Camera Licenses,1700,17,-21,,0,0,0,1,,
,,,,,,,,,,9355,22 IP Camera Licenses,1800,18,-22,,0,0,0,1,,
,,,,,,,,,,9356,23 IP Camera Licenses,1900,19,-23,,0,0,0,1,,
,,,,,,,,,,9357,24 IP Camera Licenses,2000,20,-24,,0,0,0,1,,
,,,,,,,,,,9358,25 IP Camera Licenses,2100,21,-25,,0,0,0,1,,
,,,,,,,,,,9359,26 IP Camera Licenses,2200,22,-26,,0,0,0,1,,
,,,,,,,,,,9360,27 IP Camera Licenses,2300,23,-27,,0,0,0,1,,
,,,,,,,,,,9361,28 IP Camera Licenses,2400,24,-28,,0,0,0,1,,
,,,,,,,,,,9362,29 IP Camera Licenses,2500,25,-29,,0,0,0,1,,
,,,,,,,,,,9363,30 IP Camera Licenses,2600,26,-30,,0,0,0,1,,
,,,,,,,,,,9364,31 IP Camera Licenses,2700,27,-31,,0,0,0,1,,
,,,,,,,,,,9365,32 IP Camera Licenses,2800,28,-32,,0,0,0,1,,
,,,,,,,,,,9366,33 IP Camera Licenses,2900,29,-33,,0,0,0,0,,
,,,,,,,,,,9367,34 IP Camera Licenses,3000,30,-34,,0,0,0,0,,
